NAME,ADDRESS,ZIPCODE,CITY,STATE,COUNTRY,result_num,osm_id,display_na,category,type,lat,long
Lumen,1124 Hardy Rd,77020,Houston,Texas,USA,0,423137570,"West Hardy Road, Melrose Park, Houston, Harris County, Texas, 77022, United States",highway,secondary,29.8714204,-95.365877
Amazon AWS,7060 Wellington Rd,20109,Manassas,Virginia,USA,0,490997243,"Amazon IAD73, 7060, Wellington Road, Manassas, Prince William County, Virginia, 20109, United States",building,data_center,38.7779795,-77.55909918
Wowrack,12201 Tukwila International Blvd,98168,Tukwila,Washington,USA,0,3251588817,"Virpus Networks, 12201, Tukwila International Boulevard, Tukwila, King County, Washington, 98168, United States",office,it,47.4932599,-122.293826
QTS Data Centers,5805 Campbell Rd,29745,York,South Carolina,USA,0,12559537,"5805, Campbell Road, York County, South Carolina, 29745, United States",place,house,35.04439517,-81.10490223
Flexential,118 South 10th West,84104,Salt Lake City,Utah,USA,0,1121188409,"Flexential Salt Lake City - Fair Park, 118, 1000 West, Salt Lake City, Salt Lake County, Utah, 84104, United States",building,yes,40.76678345,-111.9202947
CROWN CASTLE,624 S Grand Ave,90017,Los Angeles,California,USA,0,428021816,"One Wilshire, 624, South Grand Avenue, Jewelry District, Downtown, Los Angeles, Los Angeles County, California, 90017, United States",building,commercial,34.0478871,-118.2555541
"Information and Communications Services, LLC",175 South Third Street,43215,Columbus,Ohio,USA,0,6048726281,"Tiano & Associates, LTD., 175, South Third Street, Downtown, Columbus, Franklin County, Ohio, 43215, United States",office,company,39.9588196,-82.9976186
Earthnet,4735 Walnut St,80301,Boulder,Colorado,USA,0,200861400,"4735, Walnut Street, Boulder, Boulder County, Colorado, 80301, United States",building,office,40.01979395,-105.2419946
Amazon AWS,11800 Brewers Spring Rd,20109,Manassas,Virginia,USA,0,460060341,"Amazon IAD52, 11800, Brewers Spring Road, Manassas, Prince William County, Virginia, 20109, United States",building,data_center,38.79106485,-77.54838632
Google,4581 Webb St,74361,Pryor,Oklahoma,USA,0,309666504,"4581, Webb Street, Mid-America Industrial Park, Lusta, Pryor Creek, Mayes County, Oklahoma, 74361, United States",building,yes,36.24117205,-95.33004728
Centersquare,587 James S. McDonnell Blvd,63042,Hazelwood,Missouri,USA,0,595533247,"587, James S McDonnell Boulevard, Robertson, Hazelwood, Saint Louis County, Missouri, 63042, United States",place,house,38.772035,-90.381426
Lumen,214 E Ramsey Rd,78216,San Antonio,Texas,USA,0,15166085,"214, East Ramsey Road, San Antonio, Bexar County, Texas, 78216, United States",place,house,29.52812132,-98.4924873
CyrusOne Data Centers,9999 Westover Hills Blvd,78251,San Antonio,Texas,USA,0,509611432,"San Antonio Data Center I, 9999, Westover Hills Boulevard, Westover Hills, San Antonio, Bexar County, Texas, 78251, United States",building,data_center,29.46662675,-98.68815257
Delimiter Corp,500 Commack Road,NY 11725,Commack,New York,USA,0,83378897,"500, Commack Road, Commack, Town of Smithtown, Suffolk County, New York, 11725, United States",building,warehouse,40.82205365,-73.29188852
Equinix,2970 Corvin Drive,95051,Santa Clara,California,USA,0,8962114,"2970, Corvin Drive, Lawrence, Santa Clara, Santa Clara County, California, 95051, United States",place,house,37.37533396,-121.9879547
Flexential,3330 E Lone Mountain Rd,89081,North Las Vegas,Nevada,USA,0,746278786,"Flexential Las Vegas - North, 3330, East Lone Mountain Road, North Las Vegas, Clark County, Nevada, 89081, United States",building,yes,36.24816195,-115.1012544
Digital Realty,21745 Sir Timothy Dr,20147,Ashburn,Virginia,USA,0,649365764,"Digital Realty ACC9, 21745, Sir Timothy Drive, Ashburn, Loudoun County, Virginia, 20174, United States",building,data_center,39.0154586,-77.46715624
Lancium,1753 US Hwy 285,79735,Fort Stockton,Texas,USA,0,1019984833,"North US Highway 285, Fort Stockton, Pecos County, Texas, 79735, United States",highway,trunk,30.9007874,-102.9089992
ColoHouse,725 S Wells Street,60607,Chicago,Illinois,USA,0,148788289,"725-729, South Wells Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60607, United States",building,office,41.87262895,-87.63329793
Lockstep Technology Group,6867 Bluebonnet Blvd.,70810,Baton Rouge,Louisiana,USA,0,175481559,"6867, Bluebonnet Boulevard, Baton Rouge, East Baton Rouge Parish, Louisiana, 70810, United States",place,house,30.38884208,-91.09255882
Downtown Colo Corporation,624 South Grand Avenue,90017,Los Angeles,California,USA,0,428021816,"One Wilshire, 624, South Grand Avenue, Jewelry District, Downtown, Los Angeles, Los Angeles County, California, 90017, United States",building,commercial,34.0478871,-118.2555541
Windstream,7945 Bond St,66214,Lenexa,Kansas,USA,0,13105435,"7945, Bond Street, Lenexa, Johnson County, Kansas, 66214, United States",place,house,38.98470242,-94.71881193
ReliableSite,101 Possumtown Rd,8854,Piscataway,New Jersey,USA,0,362662493,"QTS Piscataway, 101, Possumtown Road, Possumtown, Piscataway Township, Middlesex County, New Jersey, 08854, United States",building,data_center,40.5574623,-74.48445497
LightEdge,9050 NE Underground Dr.,64161,Kansas City,Missouri,USA,0,18420468,"9050, Northeast Underground Drive, Hunt Midwest Business Center, Randolph, Kansas City, Clay County, Missouri, 64161, United States",place,house,39.1580121,-94.47459651
H5 Data Centers,505 Marquette Ave NW,87102,Albuquerque,New Mexico,USA,0,182298522,"Compass Bank Building, 505, Marquette Avenue Northwest, Downtown Albuquerque, Albuquerque, Bernalillo County, New Mexico, 87102, United States",building,office,35.0886842,-106.6526717
ColoHouse,36 NE 2nd Street,33132,Miami,Florida,USA,0,4761806199,"36, Northeast 2nd Street, Torch of Friendship, Miami, Miami-Dade County, Florida, 33132, United States",place,house,25.7758419,-80.1929625
Centersquare,9310 Florida Palm Dr.,33619,Tampa,Florida,USA,0,523886201,"Cyxtera Tampa TP1, 9310, Florida Palm Drive, Tampa, Hillsborough County, Florida, 33619, United States",building,yes,27.94553095,-82.35110077
Lumen,175 Harrier Drive,88088,Santa Teresa,New Mexico,USA,0,144814335,"175, Harrier Drive, Verde Santa Teresa Logistics Park, Strauss, Santa Teresa, Doña Ana County, New Mexico, 88008, United States",place,house,31.86674817,-106.6992177
QTS Data Centers,1275 Beech Rd SW,43054,New Albany,Ohio,USA,0,30169114,"1275, Beech Road Southwest, Beech, New Albany, Jersey Township, Licking County, Ohio, 43054, United States",place,house,40.06876381,-82.7541327
Digital Realty,365 South Randolphville Road,8854,Piscataway,New Jersey,USA,0,252069861,"365, South Randolphville Road, Newtown, Piscataway Township, Middlesex County, New Jersey, 08854, United States",place,house,40.5533448,-74.46062114
Jackson Technical,611 S Elgin Ave,74120,Tulsa,Oklahoma,USA,0,768028343,"Jackson Technical, 611, South Elgin Avenue, East Village, Tulsa, Tulsa County, Oklahoma, 74120, United States",office,it,36.1518687,-95.9842205
Equinix,7 Great Oaks Boulevard,95119,San Jose,California,USA,0,600806974,"Equinix SV10, 7, Great Oaks Boulevard, San Jose, Santa Clara County, California, 95119, United States",building,data_center,37.24118895,-121.7847548
DataBank,1500 Champa Street,80202,Denver,Colorado,USA,0,103456139,"Social Security Administration, 1500, Champa Street, Central Business District, Denver, Colorado, 80202, United States",building,civic,39.7457646,-104.994421
Colliers International,60 Hudson Street,10013,New York,New York,USA,0,250052732,"60 Hudson Street, 60, Hudson Street, Tribeca, Manhattan, New York County, City of New York, New York, 10014, United States",building,yes,40.7176412,-74.00827524
Commercial Media Corp,1430 Joh Ave.,21227,Baltimore,Maryland,USA,0,3033302013,"1430, Joh Avenue, Violetville, Baltimore, Maryland, 21227, United States",place,house,39.2600659,-76.6711606
LOGIX FIBER NETWORKS,4635 Southwest Freeway,77027,Houston,Texas,USA,0,2801323389,"4635, Southwest Freeway, Greenway / Upper Kirby, Houston, Harris County, Texas, 77027, United States",place,house,29.729218,-95.453583
FirSTLight Fiber,359 Corporate Dr,3801,Portsmouth,New Hampshire,USA,0,320902714,"FirstLight, 359, Corporate Drive, Pease International Tradeport, Portsmouth, Rockingham County, New Hampshire, 03801, United States",office,telecommunication,43.07274255,-70.80276247
Digital Realty,950 E. Collins Boulevard,75081,Richardson,Texas,USA,0,597876722,"Digital Realty Dallas DFW29, 950, East Collins Boulevard, Richardson, Dallas County, Texas, 75081, United States",building,data_center,32.96732195,-96.71052802
TierPoint,4121 Perimeter Center Dr.,73112,Oklahoma City,Oklahoma,USA,0,117752324,"4121, Perimeter Center Drive, Oklahoma City, Oklahoma County, Oklahoma, 73112, United States",place,house,35.51251973,-97.59355122
Lumen,1601 Jones Street,76102,Fort Worth,Texas,USA,0,670103918,"1601, Jones Street, Downtown Fort Worth, Fort Worth, Tarrant County, Texas, 76102, United States",place,house,32.75178344,-97.32614748
Ark Data Centers,1215 E Pennsylvania St,85706,Tucson,Arizona,USA,0,16926514,"1215, East Pennsylvania Street, Tucson, Pima County, Arizona, 85714, United States",place,house,32.17187227,-110.9539203
TierPoint,1401 Russell St,21230,Baltimore,Maryland,USA,0,336387583,"Baltimore Technology Park, 1401, Russell Street, Sowebo, Baltimore, Maryland, 21230, United States",building,yes,39.2754558,-76.62550987
702 Communications,58103,Fargo,North Dakota,USA,,0,,"58103, Fargo, Cass County, North Dakota, United States",place,postcode,46.85880554,-96.8244423
Conscious Capital Data Center,3141 Data Dr,95670,Rancho Cordova,California,USA,0,483066066,"3141, Data Drive, Rancho Cordova, Sacramento County, California, 95670, United States",place,house,38.58755744,-121.2827768
Lumen,345 Courtland St NE,30308,Atlanta,Georgia,USA,0,1029547285,"345, Courtland Street Northeast, Hotel District, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30308, United States",place,house,33.76504965,-84.38419457
"On-Ramp Indiana, Inc.",859 Conner street,46060,Noblesville,Indiana,USA,0,163509998,"859, East Conner Street, Downtown Noblesville, Noblesville, Hamilton County, Indiana, 46060, United States",place,house,40.04552141,-86.01402435
Edged Energy,3420 N Arlington Ave,64161,Kansas City,Missouri,USA,0,564451178,"3420, North Arlington Avenue, Minaville, Kansas City, Clay County, Missouri, 64161, United States",place,house,39.155737,-94.4619021
Lumen,111 E Capitol Street,39201,Jackson,Mississippi,USA,0,13598612,"111, East Capitol Street, Jackson, Hinds County, Mississippi, 39201, United States",place,house,32.30025754,-90.18815215
CyrusOne Data Centers,800 Cottontail Ln.,8873,Somerset,New Jersey,USA,0,11775258,"Cottontail Lane, Franklin Township, Somerset County, New Jersey, 08873, United States",highway,residential,40.550482,-74.54496
"XNet Information Systems, Inc.",3080 Ogden Ave,60532,Lisle,Illinois,USA,0,398956857,"3080, East Ogden Avenue, Lisle, DuPage County, Illinois, 60532, United States",building,commercial,41.7967738,-88.11255437
Hivelocity,50 NE 9th St,33132,Miami,Florida,USA,0,6085499304,"50, Northeast 9th Street, Miami, Miami-Dade County, Florida, 33132, United States",place,house,25.7825762,-80.1927703
DartPoints,7127 Florida Blvd,70806,Baton Rouge,Louisiana,USA,0,112574290,"7127, Florida Boulevard, Florida Plaza, Baton Rouge, East Baton Rouge Parish, Louisiana, 70806, United States",place,house,30.45144077,-91.11571335
Lumen,111 N. Segrave St,32114,Daytona Beach,Florida,USA,0,8641420536,"111, North Segrave Street, Daytona Beach, Volusia County, Florida, 32114, United States",place,house,29.2110235,-81.0242503
Colovore,3060 Raymond St,95054,Santa Clara,California,USA,0,8949050,"3060, Raymond Street, Santa Clara, Santa Clara County, California, 95054, United States",place,house,37.37739048,-121.9526049
Fusion Connect,422 W Appleway Ave.,83815,Coeur d'Alene,Idaho,USA,0,444496438,"422, West Appleway Avenue, Blackwell, Coeur d'Alene, Kootenai County, Idaho, 83814, United States",place,house,47.70066655,-116.7920874
Colocation America,108 Bank Street,6702,Waterbury,Connecticut,USA,0,657403397,"108, Bank Street, Exchange Place, Waterbury, Naugatuck Valley Planning Region, Connecticut, 06702, United States",place,house,41.55436598,-73.04107513
Pinnacle Technical Solutions,4300 1st Ave.,25143,Nitro,West Virginia,USA,0,823570395,"1st Avenue, Nitro, Putnam County, West Virginia, 25143, United States",highway,secondary,38.4427681,-81.8320951
STACK INFRASTRUCTURE,1301 Touhy Ave,60007,Elk Grove Village,Illinois,USA,0,40788949,"1301, Touhy Avenue, Elk Grove Village, Elk Grove Township, Cook County, Illinois, 60007, United States",place,house,42.00758274,-87.96685682
Prime Data Centers,2215 Martin Ave,95050,Santa Clara,California,USA,0,48113474,"2215, Martin Avenue, Santa Clara, Santa Clara County, California, 95050, United States",place,house,37.36779395,-121.963314
Evocative Data Centers,3690 Redondo Beach Avenue,90278,Redondo Beach,California,USA,0,398060673,"3690, Redondo Beach Avenue, Redondo Beach, California, 90278, United States",place,house,33.88949259,-118.3700446
"SimpleNET, Inc.",225 Broadway,92101,San Diego,California,USA,0,5825476901,"Dunkin', 225, Broadway, Marina, Banker's Hill, San Diego, California, 92101, United States",amenity,fast_food,32.7152694,-117.16229
"aspStation, Inc",4736 Penn Ave,15224,Pittsburgh,Pennsylvania,USA,0,572180041,"4736, Penn Avenue, Bloomfield, Pittsburgh, Allegheny County, Pennsylvania, 15224, United States",place,house,40.46558206,-79.9478055
CyrusOne Data Centers,14815 Omicron Dr,78245,San Antonio,Texas,USA,0,663646925,"Texas Research and Technology Foundation, 14785, Omicron Drive, San Antonio, Bexar County, Texas, 78245, United States",office,research,29.42012525,-98.78948809
Windstream,105 Westwood Pl,37027,Brentwood,Tennessee,USA,0,19755122,"105, Westwood Place, Iroquois Estates, Brentwood, Williamson County, Middle Tennessee, Tennessee, 37027, United States",place,house,36.03692846,-86.80561185
"Cogent Communications, Inc.",1750 W Penhall Way,92801,Anaheim,California,USA,0,1082794765,"1750, West Penhall Way, West Anaheim, Anaheim, Orange County, California, 92801, United States",building,yes,33.834767,-117.9451075
DataBank,300 West Lexington Street,21202,Baltimore,Maryland,USA,0,336380960,"One Market Center, 300, West Lexington Street, Chinatown, Downtown, Baltimore, Maryland, 21201, United States",building,yes,39.2917117,-76.62041936
"Cogent Communications, Inc.",1190 Allene Ave SW,30310,Atlanta,Georgia,USA,0,9268690,"1190, Allene Avenue Southwest, Capitol View, Atlanta, Fulton County, Georgia, 30310, United States",place,house,33.7223282,-84.4133554
Prime Data Centers,1231 Comstock St,95054,Santa Clara,California,USA,0,47570552,"1231, Comstock Street, Santa Clara, Santa Clara County, California, 95054, United States",place,house,37.37468679,-121.9531257
Digital Realty,4025 Midway Rd,75007,Carrollton,Texas,USA,0,332435289,"4025, Midway Road, Carrollton, Denton County, Texas, 75007, United States",place,house,33.02136778,-96.843649
Evocative Data Centers,1301 Fannin St,77022,Houston,Texas,USA,0,7628518939,"Landdox, 1301, Fannin Street, Houston, Harris County, Texas, 77002, United States",office,it,29.7534112,-95.3656725
Corserva,100 Technology Drive,6611,Trumbull,Connecticut,USA,0,479628489,"100 Technology Drive, Technology Drive, Trumbull, Greater Bridgeport Planning Region, 06468, United States",office,yes,41.29695445,-73.22917691
Aptum,360 E 2nd Street,90017,Los Angeles,California,USA,0,1443110941,"360, East 2nd Street, Little Tokyo, Downtown, Los Angeles, Los Angeles County, California, 90013, United States",place,house,34.0480619,-118.2400005
Lumen,1224 13th Street,95354,Modesto,California,USA,0,10608030,"1224, 13th Street, Modesto, Stanislaus County, California, 95354, United States",place,house,37.64492829,-120.9999816
Lumen,11 North Pearl Street,12207,Albany,New York,USA,0,69827427,"Home Savings Bank Building, 11, North Pearl Street, Downtown, City of Albany, Albany County, New York, 12207, United States",building,commercial,42.65002935,-73.75207456
Digital Realty,44470 Chilum Place,20147,Ashburn,Virginia,USA,0,298242260,"Equinix DC3, 44470, Chilum Place, Ashburn, Loudoun County, Virginia, 20147, United States",building,data_center,39.0220753,-77.46078439
H5 Data Centers,21800 Beaumeade Cir,20147,Ashburn,Virginia,USA,0,234722720,"21800, Beaumeade Circle, Ashburn, Loudoun County, Virginia, 20147, United States",building,data_center,39.0138447,-77.45158488
CC Communications,50 W. Williams Ave,89406,Fallon,Nevada,USA,0,14290307,"50, West Williams Avenue, Fallon, Churchill County, Nevada, 89406, United States",place,house,39.47472976,-118.7776605
Lumen,2 N Clinton St,13202,Syracuse,New York,USA,0,295893018,"North Clinton Street, Armory Square, City of Syracuse, Onondaga County, New York, 13202, United States",highway,tertiary,43.0511901,-76.1535215
C Spire,1018 Highland Colony Pkwy,39157,Ridgeland,Mississippi,USA,0,298968634,"1018, Highland Colony Parkway, Ridgeland, Madison County, Mississippi, 39157, United States",place,house,32.44659366,-90.15186236
QTS Data Centers,22271 Shellhorn Road,20147,Ashburn,Virginia,USA,0,959833113,"22271, Shellhorn Road, Loudoun Station, Ashburn, Loudoun County, Virginia, 20147, United States",place,house,39.00314131,-77.48053293
Lumen,8923 Complex Drive,92123,San Diego,California,USA,0,1137973891,"8923, Complex Drive, Kearny Mesa, San Diego, California, 92123, United States",building,commercial,32.82946715,-117.133884
CoreSite,1099 14th St NW,20005,Washington DC,District of Columbia,USA,0,48056782,"Franklin Court, 1099, 14th Street Northwest, Downtown, Ward 2, Washington, District of Columbia, 20005, United States",building,office,38.9033891,-77.03123368
Facility Gateway Corporation,509 S Boston Ave,74103,Tulsa,Oklahoma,USA,0,396260453,"509, South Boston Avenue, Oil Capital Historic District, Tulsa, Tulsa County, Oklahoma, 74103, United States",place,house,36.15168633,-95.98875518
Ark Data Centers,1343 Belmont Ave,44504,Youngstown,Ohio,USA,0,653647773,"1343, Belmont Avenue, Arlington Heights, North Side, Youngstown, Mahoning County, Ohio, 44504, United States",place,house,41.11809258,-80.65729268
